Day,pnl_absolute,cum_pnl,roi,returns,pnl_absolute fro excel sheet ,difference
2022-12-16,176.25,-15233.75,-10.16,-10.1558333333333,-2175,-2351.25
2022-12-19,66.25,-15167.5,-10.11,-10.1116666666667,-4062.5,-4128.75
2022-12-20,673.75,-14493.75,-9.66,-9.6625,2537.5,1863.75
2022-12-21,-1550,-16043.75,-10.7,-10.6958333333333,3532.5,5082.5
2022-12-22,-1645,-17688.75,-11.79,-11.7925,-220,1425
2022-12-23,303.75,-17385,-11.59,-11.59,-1431.25,-1735
2022-12-26,-2312.5,-19697.5,-13.13,-13.1316666666667,-12021.25,-9708.75
2022-12-27,760,-18937.5,-12.62,-12.625,6836.25,6076.25
2022-12-28,628.75,-18308.75,-12.21,-12.2058333333333,-2136.25,-2765
2022-12-29,-1701.25,-20010,-13.34,-13.34,-2842.5,-1141.25
2022-12-30,236.25,-19773.75,-13.18,-13.1825,4737.5,4501.25
2023-01-02,231.25,-19542.5,-13.03,-13.0283333333333,-2715,-2946.25
2023-01-03,326.25,-19216.25,-12.81,-12.8108333333333,586.25,260
2023-01-04,-1955,-21171.25,-14.11,-14.1141666666667,10035,11990
2023-01-05,-1743.75,-22915,-15.28,-15.2766666666667,-7512.5,-5768.75
2023-01-06,-48.75,-22963.75,-15.31,-15.3091666666667,-217.5,-168.75
2023-01-09,-35,-22998.75,-15.33,-15.3325,-8102.5,-8067.5
2023-01-10,-1367.5,-24366.25,-16.24,-16.2441666666667,10128.75,11496.25
2023-01-11,-1253.75,-25620,-17.08,-17.08,-13573.75,-12320
2023-01-12,5362.5,-20257.5,-13.5,-13.505,7487.5,2125
2023-01-13,-195,-20452.5,-13.64,-13.635,-2878.75,-2683.75
2023-01-16,-648.75,-21101.25,-14.07,-14.0675,11866.25,12515
2023-01-17,901.25,-20200,-13.47,-13.4666666666667,-8786.25,-9687.5
2023-01-18,192.5,-20007.5,-13.34,-13.3383333333333,-110,-302.5
2023-01-19,4547.5,-15460,-10.31,-10.3066666666667,4731.25,183.75
2023-01-20,257.5,-15202.5,-10.14,-10.135,861.25,603.75
2023-01-23,523.75,-14678.75,-9.79,-9.78583333333333,847.5,323.75
2023-01-24,-26.25,-14705,-9.8,-9.80333333333333,4298.75,4325
2023-01-25,-1465,-16170,-10.78,-10.78,-750,715
2023-01-27,197.5,-15972.5,-10.65,-10.6483333333333,7012.5,6815
2023-01-30,-23.75,-15996.25,-10.66,-10.6641666666667,-18017.5,-17993.75
2023-01-31,353.75,-15642.5,-10.43,-10.4283333333333,2265,1911.25
2023-02-01,-527.5,-16170,-10.78,-10.78,18025,18552.5
2023-02-02,-2108.75,-18278.75,-12.19,-12.1858333333333,-17267.5,-15158.75
2023-02-03,-143.75,-18422.5,-12.28,-12.2816666666667,-2187.5,-2043.75
2023-02-06,368.75,-18053.75,-12.04,-12.0358333333333,5295,4926.25
2023-02-07,448.75,-17605,-11.74,-11.7366666666667,-2713.75,-3162.5
2023-02-08,1130,-16475,-10.98,-10.9833333333333,2881.25,1751.25
2023-02-09,4932.5,-11542.5,-7.7,-7.695,2670,-2262.5
