,Unnamed: 0,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
83,83,NSE_FO:NIFTY19JAN2318000PE [LOCAL],2023-01-17 10:17:00+05:30,227da6e17319433cae0c6e5c1fea512e,SELL,50,69.5,INTRADAY,MARKET,2023-01-17 12:55:00+05:30,7548f8e4ee5a46ea9654adf6c6e57503,BUY,50,93.55,INTRADAY,MARKET,-1202.5,-1165.0,-34.6,-2.33,48835.0,-6.28
84,84,NSE_FO:NIFTY19JAN2318050PE [LOCAL],2023-01-17 15:01:00+05:30,3d157680000d4530982d1444e62b051d,SELL,50,76.3,INTRADAY,MARKET,2023-01-17 15:10:00+05:30,483ece82b1c143c5bb5ed4e5e637dd63,BUY,50,68.8,INTRADAY,MARKET,375.0,-790.0,9.83,-1.58,49210.0,-5.56
85,85,NSE_FO:NIFTY19JAN2318050CE [LOCAL],2023-01-17 09:31:00+05:30,44fba3a986344be39f3f7e2c30d56ef9,SELL,50,52.75,INTRADAY,MARKET,2023-01-17 15:10:00+05:30,49ebddf0c4a54794ae5097b48484b694,BUY,50,76.3,INTRADAY,MARKET,-1177.5,-1967.5,-44.64,-3.94,48032.5,-7.82
86,86,NSE_FO:NIFTY19JAN2317900PE [LOCAL],2023-01-17 09:17:00+05:30,802f9db6e95e42b2a65c947826f08606,SELL,50,94.6,INTRADAY,MARKET,2023-01-17 15:10:00+05:30,f1059ef105b74ac4960c43381da6e20e,BUY,50,23.6,INTRADAY,MARKET,3550.0,1582.5,75.05,3.16,51582.5,-1.01
87,87,NSE_FO:NIFTY19JAN2318050CE [LOCAL],2023-01-18 09:17:00+05:30,1e3bef9b4eb743a0a49b61f667105b29,SELL,50,80.45,INTRADAY,MARKET,2023-01-18 09:47:00+05:30,4e315e491b7f43e5956b833f2fa91a22,BUY,50,98.35,INTRADAY,MARKET,-895.0,687.5,-22.25,1.38,50687.5,-2.73
88,88,NSE_FO:NIFTY19JAN2318150PE [LOCAL],2023-01-18 11:16:00+05:30,42402726b2a44aa3b24d979dc60e7a9a,SELL,50,63.85,INTRADAY,MARKET,2023-01-18 15:10:00+05:30,034c25b090174fca9a50f049e5796969,BUY,50,41.7,INTRADAY,MARKET,1107.5,1795.0,34.69,3.59,51795.0,-0.6
89,89,NSE_FO:NIFTY19JAN2318150CE [LOCAL],2023-01-18 09:47:00+05:30,0758247abdf54ba584abc8143feea6f8,SELL,50,43.5,INTRADAY,MARKET,2023-01-18 15:10:00+05:30,a86abe16a4eb4120921199cc733720b1,BUY,50,57.5,INTRADAY,MARKET,-700.0,1095.0,-32.18,2.19,51095.0,-1.94
90,90,NSE_FO:NIFTY19JAN2318050PE [LOCAL],2023-01-18 09:17:00+05:30,9824be7e427e428987d0c13b37d44d1b,SELL,50,62.7,INTRADAY,MARKET,2023-01-18 15:10:00+05:30,228a217d1cac4cb1a116a40fc0fe8e81,BUY,50,15.95,INTRADAY,MARKET,2337.5,3432.5,74.56,6.87,53432.5,0.0
91,91,NSE_FO:NIFTY19JAN2318100PE [LOCAL],2023-01-19 09:17:00+05:30,c0fc3adcd81d4833ab3171221bbddc8d,SELL,50,36.55,INTRADAY,MARKET,2023-01-19 10:05:00+05:30,91022a845f474297bfc4fa84a6f5dbc8,BUY,50,56.15,INTRADAY,MARKET,-980.0,2452.5,-53.63,4.91,52452.5,-1.83
92,92,NSE_FO:NIFTY19JAN2318200PE [LOCAL],2023-01-19 11:03:00+05:30,c5058edcd64347fea54adda84fe61faa,SELL,50,64.8,INTRADAY,MARKET,2023-01-19 11:23:00+05:30,cd0341eb1ba44d1d8f3c28cfaac1c3d2,BUY,50,88.35,INTRADAY,MARKET,-1177.5,1275.0,-36.34,2.55,51275.0,-4.04
93,93,NSE_FO:NIFTY19JAN2318050PE [LOCAL],2023-01-19 10:05:00+05:30,e3d8bed91252488b9efea887d6852f55,SELL,50,32.5,INTRADAY,MARKET,2023-01-19 11:44:00+05:30,a0e589b1ca9d4828a3ed17052caa6e29,BUY,50,7.8,INTRADAY,MARKET,1235.0,2510.0,76.0,5.02,52510.0,-1.73
94,94,NSE_FO:NIFTY19JAN2318100CE [LOCAL],2023-01-19 09:17:00+05:30,7efc952d1a6e4a25865680f4cda5bf92,SELL,50,60.9,INTRADAY,MARKET,2023-01-19 11:44:00+05:30,297b92ddff2b4034b92fc9fbc047012d,BUY,50,55.2,INTRADAY,MARKET,285.0,2795.0,9.36,5.59,52795.0,-1.19
95,95,NSE_FO:NIFTY19JAN2318150PE [LOCAL],2023-01-19 11:44:00+05:30,81abd6e1cd6b4ed09e8b76f66e368281,SELL,50,38.8,INTRADAY,MARKET,2023-01-19 11:58:00+05:30,b754880ad839456aa5b52d6fe9c31fff,BUY,50,45.05,INTRADAY,MARKET,-312.5,2482.5,-16.11,4.96,52482.5,-1.78
96,96,NSE_FO:NIFTY19JAN2318100CE [LOCAL],2023-01-19 13:16:00+05:30,2c2eacc1f8164a608ceec2e7afe830a2,SELL,50,29.85,INTRADAY,MARKET,2023-01-19 13:17:00+05:30,84136dc3712642f6babaf01b77e0ec84,BUY,50,37.1,INTRADAY,MARKET,-362.5,2120.0,-24.29,4.24,52120.0,-2.46
97,97,NSE_FO:NIFTY19JAN2318100CE [LOCAL],2023-01-19 14:25:00+05:30,d74862bbc22a47fd892f4741177eb466,SELL,50,15.95,INTRADAY,MARKET,2023-01-19 15:01:00+05:30,6d9a18dca3c64a1ba50939ea7c724516,BUY,50,23.5,INTRADAY,MARKET,-377.5,1742.5,-47.34,3.48,51742.5,-3.16
98,98,NSE_FO:NIFTY19JAN2318100PE [LOCAL],2023-01-19 11:58:00+05:30,299534d1497648ff855a8dfee2793f58,SELL,50,21.25,INTRADAY,MARKET,2023-01-19 15:10:00+05:30,a032fa14bd3c4668ba2bf61d42d1bd9b,BUY,50,0.35,INTRADAY,MARKET,1045.0,2787.5,98.35,5.58,52787.5,-1.21
99,99,NSE_FO:NIFTY19JAN2318150CE [LOCAL],2023-01-19 11:44:00+05:30,ccab825467d34e9b88c092e20c734777,SELL,50,26.35,INTRADAY,MARKET,2023-01-19 15:10:00+05:30,d40551d9308c4c1791c2d5012c63175a,BUY,50,0.25,INTRADAY,MARKET,1305.0,4092.5,99.05,8.19,54092.5,0.0
100,100,NSE_FO:NIFTY25JAN2318100CE [LOCAL],2023-01-20 09:17:00+05:30,e83401f6f70a48dbb7fc39713e0e705d,SELL,50,114.2,INTRADAY,MARKET,2023-01-20 10:47:00+05:30,8202c43289ea4486b07c84400ada0cfd,BUY,50,134.5,INTRADAY,MARKET,-1015.0,3077.5,-17.78,6.16,53077.5,-1.88
101,101,NSE_FO:NIFTY25JAN2318100PE [LOCAL],2023-01-20 09:17:00+05:30,f4398087fd334a518b13648360ca806e,SELL,50,95.95,INTRADAY,MARKET,2023-01-20 15:10:00+05:30,e656141a88e846d194ec727bcf5b259f,BUY,50,113.2,INTRADAY,MARKET,-862.5,2215.0,-17.98,4.43,52215.0,-3.47
102,102,NSE_FO:NIFTY25JAN2318100CE [LOCAL],2023-01-20 13:58:00+05:30,23f54d110255402e82756ba524fb675c,SELL,50,88.6,INTRADAY,MARKET,2023-01-20 15:10:00+05:30,bc6103eba235496fbe0286edc49fec7b,BUY,50,69.9,INTRADAY,MARKET,935.0,3150.0,21.11,6.3,53150.0,-1.74
