,Unnamed: 0,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
10296,5269,1432650,3092,NSE_FO:BANKNIFTY29JUL2134700PE,2021-07-29 14:47:00,1,25,48.35,2021-07-29 14:55:00,0.0,25.0,36.15,305.0,25.23,255883.75,149.64,426883.75,-0.56
10297,5270,1432649,3092,NSE_FO:BANKNIFTY29JUL2134700CE,2021-07-29 14:47:00,1,25,30.6,2021-07-29 14:55:00,0.0,25.0,25.25,133.75,17.48,255578.75,149.46,426578.75,-0.63
10298,5271,1432648,3092,NSE_FO:BANKNIFTY29JUL2134700PE,2021-07-29 14:31:00,1,25,46.1,2021-07-29 14:47:00,0.0,25.0,48.35,-56.25,-4.88,255445.0,149.38,426445.0,-0.66
10299,5272,1432647,3092,NSE_FO:BANKNIFTY29JUL2134700CE,2021-07-29 14:31:00,1,25,52.9,2021-07-29 14:47:00,0.0,25.0,30.6,557.5,42.16,255501.25,149.42,426501.25,-0.65
10300,5273,1432646,3092,NSE_FO:BANKNIFTY29JUL2134700PE,2021-07-29 14:17:00,1,25,76.45,2021-07-29 14:31:00,0.0,25.0,46.1,758.75,39.7,254943.75,149.09,425943.75,-0.78
10301,5274,1432645,3092,NSE_FO:BANKNIFTY29JUL2134700CE,2021-07-29 14:17:00,1,25,47.95,2021-07-29 14:31:00,0.0,25.0,52.9,-123.75,-10.32,254185.0,148.65,425185.0,-0.96
10302,5275,1432644,3092,NSE_FO:BANKNIFTY29JUL2134600PE,2021-07-29 12:32:00,1,25,74.55,2021-07-29 14:17:00,0.0,25.0,35.3,981.25,52.65,254308.75,148.72,425308.75,-0.93
10303,5276,1432643,3092,NSE_FO:BANKNIFTY29JUL2134600CE,2021-07-29 12:32:00,1,25,106.5,2021-07-29 14:17:00,0.0,25.0,107.3,-20.0,-0.75,253327.5,148.14,424327.5,-1.16
10304,5277,1432642,3092,NSE_FO:BANKNIFTY29JUL2134700PE,2021-07-29 09:25:00,1,25,121.5,2021-07-29 12:32:00,0.0,25.0,127.7,-155.0,-5.1,253347.5,148.16,424347.5,-1.15
10305,5278,1432641,3092,NSE_FO:BANKNIFTY29JUL2134700CE,2021-07-29 09:25:00,1,25,120.55,2021-07-29 12:32:00,0.0,25.0,58.45,1552.5,51.51,253502.5,148.25,424502.5,-1.12
10306,5279,1432640,3092,NSE_FO:BANKNIFTY29JUL2134300PE,2021-07-28 11:19:00,1,25,193.4,2021-07-28 15:09:00,0.0,25.0,63.95,3236.25,66.93,251950.0,147.34,422950.0,-1.48
10307,5280,1432639,3092,NSE_FO:BANKNIFTY29JUL2134300CE,2021-07-28 11:19:00,1,25,235.0,2021-07-28 15:09:00,0.0,25.0,321.0,-2150.0,-36.6,248713.75,145.45,419713.75,-2.23
10308,5281,1432638,3092,NSE_FO:BANKNIFTY29JUL2134200PE,2021-07-28 10:46:00,1,25,285.1,2021-07-28 11:19:00,0.0,25.0,149.95,3378.75,47.4,250863.75,146.7,421863.75,-1.73
10309,5282,1432637,3092,NSE_FO:BANKNIFTY29JUL2134200CE,2021-07-28 10:46:00,1,25,266.7,2021-07-28 11:19:00,0.0,25.0,291.85,-628.75,-9.43,247485.0,144.73,418485.0,-2.52
