,id,strategy,INST,EN_TIME,EN_TT,EN_Q,EN_PRICE,EX_TIME,EX_TT,EX_Q,EX_PRICE,P&L,P&L%,pnl_cumulative_absolute,pnl_cumulative_percentage,Equity Curve,Drawdown %
1467,1183812,870,NSE_FO:BANKNIFTY20OCT2240500CE,19-10-2022 10:30,1,25,247.15,19-10-2022 11:45,0.0,25.0,167.15,2000.0,32.37,74936.25,45.42,239936.25,-17.92
1468,1157180,870,NSE_FO:BANKNIFTY20OCT2240300PE,18-10-2022 11:45,1,25,305.75,18-10-2022 12:15,0.0,25.0,257.85,1197.5,15.67,72936.25,44.2,237936.25,-18.61
1469,1157176,870,NSE_FO:BANKNIFTY20OCT2240300CE,18-10-2022 10:45,1,25,303.55,18-10-2022 11:45,0.0,25.0,283.25,507.5,6.69,71738.75,43.48,236738.75,-19.02
1470,1157173,870,NSE_FO:BANKNIFTY20OCT2240300PE,18-10-2022 10:15,1,25,316.9,18-10-2022 10:45,0.0,25.0,291.2,642.5,8.11,71231.25,43.17,236231.25,-19.19
1471,1157170,870,NSE_FO:BANKNIFTY20OCT2240200CE,18-10-2022 09:30,1,25,337.25,18-10-2022 10:15,0.0,25.0,351.15,-347.5,-4.12,70588.75,42.78,235588.75,-19.41
1472,1134539,870,NSE_FO:BANKNIFTY20OCT2239800CE,17-10-2022 13:45,1,25,380.4,17-10-2022 14:15,0.0,25.0,328.95,1286.25,13.53,70936.25,42.99,235936.25,-19.29
1473,1134532,870,NSE_FO:BANKNIFTY20OCT2239700PE,17-10-2022 12:15,1,25,342.6,17-10-2022 13:45,0.0,25.0,307.6,875.0,10.22,69650.0,42.21,234650.0,-19.73
1474,1134521,870,NSE_FO:BANKNIFTY20OCT2239700CE,17-10-2022 11:00,1,25,387.9,17-10-2022 12:15,0.0,25.0,394.35,-161.25,-1.66,68775.0,41.68,233775.0,-20.03
1475,1132927,870,NSE_FO:BANKNIFTY20OCT2239400PE,14-10-2022 09:45,1,25,446.35,14-10-2022 10:30,0.0,25.0,526.35,-2000.0,-17.92,68936.25,41.78,233936.25,-19.98
1476,1132547,870,NSE_FO:BANKNIFTY13OCT2239000CE,13-10-2022 09:30,1,25,165.3,13-10-2022 10:15,0.0,25.0,85.3,2000.0,48.4,70936.25,42.99,235936.25,-19.29
1477,1132137,870,NSE_FO:BANKNIFTY13OCT2238800PE,12-10-2022 09:30,1,25,259.65,12-10-2022 10:15,0.0,25.0,339.65,-2000.0,-30.81,68936.25,41.78,233936.25,-19.98
1478,1127204,870,NSE_FO:BANKNIFTY13OCT2239000PE,11-10-2022 10:15,1,25,347.95,11-10-2022 11:30,0.0,25.0,394.8,-1171.25,-13.46,70936.25,42.99,235936.25,-19.29
1479,1127199,870,NSE_FO:BANKNIFTY13OCT2238900CE,11-10-2022 09:30,1,25,351.4,11-10-2022 10:15,0.0,25.0,384.55,-828.75,-9.43,72107.5,43.7,237107.5,-18.89
1480,1124544,870,NSE_FO:BANKNIFTY13OCT2238800PE,10-10-2022 10:30,1,25,364.25,10-10-2022 12:00,0.0,25.0,284.25,2000.0,21.96,72936.25,44.2,237936.25,-18.61
1481,1122111,870,NSE_FO:BANKNIFTY13OCT2238900CE,07-10-2022 11:00,1,25,443.4,07-10-2022 11:15,0.0,25.0,474.5,-777.5,-7.01,70936.25,42.99,235936.25,-19.29
1482,1122108,870,NSE_FO:BANKNIFTY13OCT2239000PE,07-10-2022 10:00,1,25,425.1,07-10-2022 11:00,0.0,25.0,474.0,-1222.5,-11.5,71713.75,43.46,236713.75,-19.03
