,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60
315,635194,953,NSE_FO:BANKNIFTY28APR2236100PE,28-04-2022 09:20,1,25,124.2,28-04-2022 14:02,0,25,7.35,2921.25,94.08,-3756.25,101.5,71243.75,-20.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,635609,953,NSE_FO:BANKNIFTY05MAY2236000PE,29-04-2022 09:20,0,25,216.25,29-04-2022 15:01,1,25,275.0,1468.75,27.17,-2287.5,100.86,72712.5,-18.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,635608,953,NSE_FO:BANKNIFTY05MAY2236500CE,29-04-2022 09:20,1,25,403.65,29-04-2022 15:01,0,25,284.8,2971.25,29.44,683.75,104.73,75683.75,-15.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,635606,953,NSE_FO:BANKNIFTY05MAY2237000CE,29-04-2022 09:20,0,25,197.5,29-04-2022 15:01,1,25,122.4,-1877.5,-38.03,-1193.75,98.91,73806.25,-17.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,635602,953,NSE_FO:BANKNIFTY05MAY2236500PE,29-04-2022 09:20,1,25,410.65,29-04-2022 15:01,0,25,510.15,-2487.5,-24.23,-3681.25,101.41,71318.75,-20.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,636053,953,NSE_FO:BANKNIFTY05MAY2235500PE,02-05-2022 09:20,0,25,200.1,02-05-2022 15:01,1,25,96.7,-2585.0,-51.67,-6266.25,101.22,68733.75,-23.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,636051,953,NSE_FO:BANKNIFTY05MAY2236000CE,02-05-2022 09:20,1,25,397.9,02-05-2022 15:01,0,25,456.45,-1463.75,-14.71,-7730.0,98.91,67270.0,-24.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,636049,953,NSE_FO:BANKNIFTY05MAY2236500CE,02-05-2022 09:20,0,25,184.0,02-05-2022 15:01,1,25,206.45,561.25,12.2,-7168.75,104.67,67831.25,-24.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,636047,953,NSE_FO:BANKNIFTY05MAY2236000PE,02-05-2022 09:20,1,25,382.15,02-05-2022 15:01,0,25,231.85,3757.5,39.33,-3411.25,103.92,71588.75,-19.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,636424,953,NSE_FO:BANKNIFTY05MAY2235700PE,04-05-2022 09:20,0,25,73.85,04-05-2022 14:45,1,25,480.7,10171.25,550.91,6760.0,98.09,81760.0,-8.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
