,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage,date,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
46,271780,511,NSE_FO:BANKNIFTY13AUG2021600PE,08-07-2020 09:45,1,25,389.7,07-08-2020 12:30,0,25,342.15,1188.75,12.2,34312.5,21.86,191312.5,0.0,07-08-2020,3,4261.25,0,0.0,0.0,,,,04-09-2020,1.0,-2000.0
47,271788,511,NSE_FO:BANKNIFTY13AUG2021600CE,08-07-2020 12:30,1,25,377.4,07-08-2020 15:30,0,25,425.1,-1192.5,-12.64,33120.0,21.1,190120.0,-0.62,07-08-2020,0,0.0,1,-1192.5,-1192.5,,,,07-09-2020,5.0,-780.0
48,271807,511,NSE_FO:BANKNIFTY13AUG2022000CE,08-10-2020 10:00,1,25,329.0,10-08-2020 13:00,0,25,316.8,305.0,3.71,33425.0,21.29,190425.0,-0.46,10-08-2020,1,305.0,0,0.0,-887.5,,,,08-09-2020,3.0,-2000.0
49,271814,511,NSE_FO:BANKNIFTY13AUG2022000PE,08-10-2020 13:00,1,25,304.7,10-08-2020 13:45,0,25,305.9,-30.0,-0.39,33395.0,21.27,190395.0,-0.48,10-08-2020,0,0.0,1,-30.0,-917.5,,,,09-09-2020,1.0,1357.5
50,271819,511,NSE_FO:BANKNIFTY13AUG2022000CE,08-10-2020 13:45,1,25,309.0,10-08-2020 14:30,0,25,257.7,1282.5,16.6,34677.5,22.09,191677.5,0.0,10-08-2020,1,1282.5,0,0.0,0.0,,,,10-09-2020,2.0,2610.0
51,271844,511,NSE_FO:BANKNIFTY13AUG2021900PE,08-10-2020 14:30,1,25,300.9,10-08-2020 15:30,0,25,281.0,497.5,6.61,35175.0,22.4,192175.0,0.0,10-08-2020,2,1780.0,0,0.0,0.0,,,,11-09-2020,2.0,5078.75
52,271848,511,NSE_FO:BANKNIFTY13AUG2022200CE,08-11-2020 09:45,1,25,248.9,11-08-2020 15:30,0,25,272.9,-600.0,-9.64,34575.0,22.02,191575.0,-0.31,11-08-2020,0,0.0,1,-600.0,-600.0,,,,14-09-2020,2.0,-2000.0
53,271861,511,NSE_FO:BANKNIFTY13AUG2022200PE,08-12-2020 09:45,1,25,214.05,12-08-2020 12:45,0,25,150.45,1590.0,29.71,36165.0,23.04,193165.0,0.0,12-08-2020,1,1590.0,0,0.0,0.0,,,,15-09-2020,3.0,2388.75
54,271865,511,NSE_FO:BANKNIFTY13AUG2022200CE,08-12-2020 12:45,1,25,219.0,12-08-2020 15:30,0,25,202.0,425.0,7.76,36590.0,23.31,193590.0,0.0,12-08-2020,2,2015.0,0,0.0,0.0,,,,16-09-2020,2.0,4930.0
55,271872,511,NSE_FO:BANKNIFTY13AUG2022400CE,08-13-2020 10:00,1,25,111.55,13-08-2020 12:00,0,25,44.9,1666.25,59.75,38256.25,24.37,195256.25,0.0,13-08-2020,3,3681.25,0,0.0,0.0,,,,17-09-2020,1.0,1115.0
56,271886,511,NSE_FO:BANKNIFTY13AUG2022300PE,08-13-2020 12:00,1,25,88.05,13-08-2020 15:30,0,25,118.1,-751.25,-34.13,37505.0,23.89,194505.0,-0.38,13-08-2020,0,0.0,1,-751.25,-751.25,,,,18-09-2020,4.0,5967.5
57,271903,511,NSE_FO:BANKNIFTY20AUG2022200PE,08-14-2020 09:15,1,25,330.0,14-08-2020 09:45,0,25,298.7,782.5,9.48,38287.5,24.39,195287.5,0.0,14-08-2020,1,782.5,0,0.0,0.0,,,,21-09-2020,1.0,-2000.0
58,271925,511,NSE_FO:BANKNIFTY20AUG2022200CE,08-14-2020 09:45,1,25,311.25,14-08-2020 11:15,0,25,287.15,602.5,7.74,38890.0,24.77,195890.0,0.0,14-08-2020,2,1385.0,0,0.0,0.0,,,,22-09-2020,3.0,4768.75
