,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
138,NSE_FO:BANKNIFTY13AUG2022200CE [LOCAL],11-08-2020 09:17,c0398a467547477eac09c2a7e69c5a5f,SELL,15,251.4,INTRADAY,MARKET,11-08-2020 15:10,69ad4266bb65456f90d033124eb78566,BUY,15,258.85,INTRADAY,MARKET,-111.75,22235.25,-2.96,44.47,522235.25,-0.04
139,NSE_FO:BANKNIFTY13AUG2022000PE [LOCAL],12-08-2020 09:17,e20a52d91c9d4570ad866f788385bde2,SELL,15,178.45,INTRADAY,MARKET,12-08-2020 15:10,090e0ed94fde4147990dadd78694d861,BUY,15,52.65,INTRADAY,MARKET,1887.0,24122.25,70.5,46.44,524122.25,0.0
140,NSE_FO:BANKNIFTY13AUG2022000CE [LOCAL],12-08-2020 09:17,897efe17a90b485a9ee516463b00e5b2,SELL,15,217.7,INTRADAY,MARKET,12-08-2020 09:34,d95ce877cde04c0da80992fd84e88200,BUY,15,278.4,INTRADAY,MARKET,-910.5,23211.75,-27.88,42.65,523211.75,-0.17
141,NSE_FO:BANKNIFTY13AUG2022300CE [LOCAL],12-08-2020 09:34,304d797219d943088f7b07f5ebd916a3,SELL,15,128.35,INTRADAY,MARKET,12-08-2020 14:18,e0dda0904567472ea0e26e66bd21694a,BUY,15,193.25,INTRADAY,MARKET,-973.5,22238.25,-50.56,40.7,522238.25,-0.36
142,NSE_FO:BANKNIFTY13AUG2022200PE [LOCAL],12-08-2020 12:22,eb5be336342c4ad2adb6a325ea886ea8,SELL,15,150.5,INTRADAY,MARKET,12-08-2020 15:10,24124945db8a4a1b8b38b3f52cb745da,BUY,15,106.1,INTRADAY,MARKET,666.0,22904.25,29.5,42.03,522904.25,-0.23
143,NSE_FO:BANKNIFTY13AUG2022500CE [LOCAL],12-08-2020 14:18,8b481089d3d24960b29e5b0b858b63a2,SELL,15,99.6,INTRADAY,MARKET,12-08-2020 15:10,d35c21cab3ea40daa045e6a207975c18,BUY,15,78.65,INTRADAY,MARKET,314.25,23218.5,21.03,42.66,523218.5,-0.17
144,NSE_FO:BANKNIFTY13AUG2022400PE [LOCAL],13-08-2020 09:17,173fd04c3c0a42d0bffa68c336854c95,SELL,15,110.25,INTRADAY,MARKET,13-08-2020 11:41,89bb913454b04772ae3ab36f86e9256b,BUY,15,179.25,INTRADAY,MARKET,-1035.0,22183.5,-62.59,44.37,522183.5,-0.37
145,NSE_FO:BANKNIFTY13AUG2022400CE [LOCAL],13-08-2020 09:17,1d42334c59884fcd96a79e17fc728578,SELL,15,126.45,INTRADAY,MARKET,13-08-2020 15:10,4af57404f299470d87faacb43bdc65d4,BUY,15,0.25,INTRADAY,MARKET,1893.0,24076.5,99.8,48.78,524076.5,-0.01
146,NSE_FO:BANKNIFTY13AUG2022100PE [LOCAL],13-08-2020 11:41,0e7b2cd67e6f460185e679e65846f0ad,SELL,15,37.6,INTRADAY,MARKET,13-08-2020 15:10,5222d992f9a244f3a98ba3a23b89862c,BUY,15,0.35,INTRADAY,MARKET,558.75,24635.25,99.07,44.99,524635.25,0.0
147,NSE_FO:BANKNIFTY13AUG2022300CE [LOCAL],13-08-2020 12:21,bafed3485f5b44088c7f1eb89eeb6b56,SELL,15,43.15,INTRADAY,MARKET,13-08-2020 12:38,2bcdf92bc1ed4405a000b941517f27be,BUY,15,59.55,INTRADAY,MARKET,-246.0,24389.25,-38.01,43.88,524389.25,-0.05
148,NSE_FO:BANKNIFTY20AUG2022200PE [LOCAL],14-08-2020 09:17,83182a0548b94130b5a1efb71d185814,SELL,15,302.9,INTRADAY,MARKET,14-08-2020 13:46,b152084bfc124920bc118dc42168d653,BUY,15,463.95,INTRADAY,MARKET,-2415.75,21973.5,-53.17,43.95,521973.5,-0.51
149,NSE_FO:BANKNIFTY20AUG2022200CE [LOCAL],14-08-2020 09:17,6b5f269772664f94b74a7bdfde8c8b70,SELL,15,343.5,INTRADAY,MARKET,14-08-2020 13:46,9ee2ba1077e84b98b173512394e9aa95,BUY,15,204.7,INTRADAY,MARKET,2082.0,24055.5,40.41,48.11,524055.5,-0.11
150,NSE_FO:BANKNIFTY20AUG2021700PE [LOCAL],14-08-2020 13:46,99731b4b5dfd456a8d381e088961e206,SELL,15,207.8,INTRADAY,MARKET,14-08-2020 13:46,14db57d95a3748a4a166eb3640233c38,BUY,15,207.8,INTRADAY,MARKET,0.0,24055.5,0.0,43.95,524055.5,-0.11
151,NSE_FO:BANKNIFTY20AUG2021900PE [LOCAL],14-08-2020 13:46,eb0b8a96a893437c9af1f18c5e7a69ae,SELL,15,292.75,INTRADAY,MARKET,14-08-2020 14:03,3a91e6c030f64d12a32658ae7d996723,BUY,15,478.75,INTRADAY,MARKET,-2790.0,21265.5,-63.54,42.53,521265.5,-0.64
152,NSE_FO:BANKNIFTY20AUG2021900CE [LOCAL],14-08-2020 13:46,84778614d2c944d3a3f019fb74098245,SELL,15,333.85,INTRADAY,MARKET,14-08-2020 14:03,b4314c8422814407877ea0d13439d490,BUY,15,259.0,INTRADAY,MARKET,1122.75,22388.25,22.42,44.78,522388.25,-0.43
