,instrument_str,entry_timestamp,EN_ID,entry_transaction_type,entry_quantity,entry_price,EN_CODE,EN_VAR,exit_timestamp,EX_ID,exit_transaction_type,exit_quantity,exit_price,EX_CODE,EX_VAR,pnl_absolute,pnl_cumulative_absolute,pnl_percentage,pnl_cumulative_percentage,equity_curve,drawdown_percentage,Drawdown ?,Date
2749,NSE_FO:BANKNIFTY11AUG2238100PE [LOCAL],10-08-2022 09:25,e95fc0ae672341579cdd70904e643328,SELL,30,141.0,INTRADAY,MARKET,10-08-2022 09:25,29789996f2da4f4ca91ab423e6481592,BUY,30,124.35,INTRADAY,MARKET,499.5,351909.5,11.81,205.8,522909.5,-1.22,-6459.0,10-08-2022
2750,NSE_FO:BANKNIFTY11AUG2239000CE [LOCAL],11-08-2022 09:25,a9f5169486af450c95acd453f3dcdec0,SELL,30,21.35,INTRADAY,MARKET,11-08-2022 09:25,2a861a3004ac436ba8be66ebb2cd0190,BUY,30,28.6,INTRADAY,MARKET,-217.5,351692.0,-33.96,205.67,522692.0,-1.26,-6676.5,11-08-2022
2751,NSE_FO:BANKNIFTY11AUG2238400PE [LOCAL],11-08-2022 09:25,1408137f1fc54b869dd357352d97248c,SELL,30,38.25,INTRADAY,MARKET,11-08-2022 09:25,894f642545e7429689b8af8ba61a5857,BUY,30,6.4,INTRADAY,MARKET,955.5,352647.5,83.27,206.23,523647.5,-1.08,-5721.0,11-08-2022
2752,NSE_FO:BANKNIFTY11AUG2239200CE [LOCAL],11-08-2022 13:02,17efe7c187a84e67b25e6afabeffb3f9,SELL,30,5.2,INTRADAY,MARKET,11-08-2022 13:02,28c52f0cf3314ff7bac03fa14894b046,BUY,30,3.2,INTRADAY,MARKET,60.0,352707.5,38.46,206.26,523707.5,-1.07,-5661.0,11-08-2022
2753,NSE_FO:BANKNIFTY11AUG2238600PE [LOCAL],11-08-2022 13:02,1bfea5fb15564237b1992ac62ff5b837,SELL,30,13.4,INTRADAY,MARKET,11-08-2022 13:02,95a637be404b41409b841256c33f3509,BUY,30,7.6,INTRADAY,MARKET,174.0,352881.5,43.28,206.36,523881.5,-1.04,-5487.0,11-08-2022
2754,NSE_FO:BANKNIFTY11AUG2239200CE [LOCAL],11-08-2022 13:45,acfbdb044b914e24b7d517babfcca25c,SELL,30,3.2,INTRADAY,MARKET,11-08-2022 13:45,375bcbc06951483e9f735a4bce7f04b8,BUY,30,1.25,INTRADAY,MARKET,58.5,352940.0,60.94,206.4,523940.0,-1.03,-5428.5,11-08-2022
2755,NSE_FO:BANKNIFTY11AUG2238600PE [LOCAL],11-08-2022 13:45,cbe1f4e6f7a04d22804b12d23625f444,SELL,30,7.6,INTRADAY,MARKET,11-08-2022 13:45,81e6d84aa1b846ccab1d17244f5a7545,BUY,30,4.9,INTRADAY,MARKET,81.0,353021.0,35.53,206.45,524021.0,-1.01,-5347.5,11-08-2022
2756,NSE_FO:BANKNIFTY11AUG2239200CE [LOCAL],11-08-2022 14:18,9767f7a14f7b4432ab98278b25f9737a,SELL,30,1.25,INTRADAY,MARKET,11-08-2022 14:18,a02b4680295042f9b8837d65d618cbb4,BUY,30,1.8,INTRADAY,MARKET,-16.5,353004.5,-44.0,206.44,524004.5,-1.01,-5364.0,11-08-2022
2757,NSE_FO:BANKNIFTY11AUG2238600PE [LOCAL],11-08-2022 14:18,24fde1f236f745d8b14ecf6a61b764f1,SELL,30,4.9,INTRADAY,MARKET,11-08-2022 14:18,49145abd359e49d0842a60f4200b9821,BUY,30,1.75,INTRADAY,MARKET,94.5,353099.0,64.29,206.49,524099.0,-1.0,-5269.5,11-08-2022
2758,NSE_FO:BANKNIFTY11AUG2239200CE [LOCAL],11-08-2022 14:43,3ac3ccb22d54468cbf33f0ea74fb1241,SELL,30,1.8,INTRADAY,MARKET,11-08-2022 14:43,1bdb5b07aa7346f38d95313523a1bb1f,BUY,30,1.2,INTRADAY,MARKET,18.0,353117.0,33.33,206.5,524117.0,-0.99,-5251.5,11-08-2022
2759,NSE_FO:BANKNIFTY11AUG2238600PE [LOCAL],11-08-2022 14:43,a147e3f320e34d7d8f5c4f57aa02e29b,SELL,30,1.75,INTRADAY,MARKET,11-08-2022 14:43,fc64548ba26446f4a2a34818f8e9e253,BUY,30,0.85,INTRADAY,MARKET,27.0,353144.0,51.43,206.52,524144.0,-0.99,-5224.5,11-08-2022
2760,NSE_FO:BANKNIFTY11AUG2239200CE [LOCAL],11-08-2022 14:55,016ff12357bb454884fdcd75f47f27d3,SELL,30,1.2,INTRADAY,MARKET,11-08-2022 14:55,9572a2417c6f43a1a8bf01c666ec09d8,BUY,30,0.55,INTRADAY,MARKET,19.5,353163.5,54.17,206.53,524163.5,-0.98,-5205.0,11-08-2022
2761,NSE_FO:BANKNIFTY11AUG2238600PE [LOCAL],11-08-2022 14:55,9ba8d90eb9d7483b8e4dce9874adfb5d,SELL,30,0.85,INTRADAY,MARKET,11-08-2022 14:55,b0524eb9ee5f447cac35a889ebbdb6a5,BUY,30,0.55,INTRADAY,MARKET,9.0,353172.5,35.29,206.53,524172.5,-0.98,-5196.0,11-08-2022
2762,NSE_FO:BANKNIFTY11AUG2239200CE [LOCAL],11-08-2022 15:06,39815d743d104dcca5c76ef3730ae4eb,SELL,30,0.55,INTRADAY,MARKET,11-08-2022 15:06,43c102fa3e0247169cd90ad22fce5cc1,BUY,30,0.3,INTRADAY,MARKET,7.5,353180.0,45.45,206.54,524180.0,-0.98,-5188.5,11-08-2022
2763,NSE_FO:BANKNIFTY11AUG2238600PE [LOCAL],11-08-2022 15:06,516a3409bace4bdeb4a20846dfa1d600,SELL,30,0.55,INTRADAY,MARKET,11-08-2022 15:06,737f81e88dbc4079a8a6d80d24e8d23b,BUY,30,0.45,INTRADAY,MARKET,3.0,353183.0,18.18,206.54,524183.0,-0.98,-5185.5,11-08-2022
2764,NSE_FO:BANKNIFTY18AUG2239100CE [LOCAL],12-08-2022 09:25,9c112f447b2f486eb28239a72c73ee4c,SELL,30,214.35,INTRADAY,MARKET,12-08-2022 09:25,7def4c508ba7493eb0955eced2f096d6,BUY,30,242.65,INTRADAY,MARKET,-849.0,352334.0,-13.2,206.04,523334.0,-1.14,-6034.5,12-08-2022
2765,NSE_FO:BANKNIFTY18AUG2238500PE [LOCAL],12-08-2022 09:25,57de98e767644706b6c1ab2cc0627689,SELL,30,197.75,INTRADAY,MARKET,12-08-2022 09:25,f71493d565b44e3eb9867bcaeb1000f1,BUY,30,123.95,INTRADAY,MARKET,2214.0,354548.0,37.32,207.34,525548.0,-0.72,-3820.5,12-08-2022
2766,NSE_FO:BANKNIFTY18AUG2239700CE [LOCAL],16-08-2022 09:25,c76beaf247404520a44eada1309a680e,SELL,30,97.9,INTRADAY,MARKET,16-08-2022 09:25,f433de2f21bf4c5ea6ff00dc36c76827,BUY,30,59.15,INTRADAY,MARKET,1162.5,355710.5,39.58,208.02,526710.5,-0.5,-2658.0,16-08-2022
2767,NSE_FO:BANKNIFTY18AUG2239100PE [LOCAL],16-08-2022 09:25,c439bc8ce9184dc38bf29e4afcffc998,SELL,30,141.9,INTRADAY,MARKET,16-08-2022 09:25,b9a5540ea4454dc7b1b824971d3acc59,BUY,30,149.2,INTRADAY,MARKET,-219.0,355491.5,-5.14,207.89,526491.5,-0.54,-2877.0,16-08-2022
